label,Facelandmark_pts,eye_side,eyelid,dpi
028_220329_0644_5_5_4.pts,68,right,117.88209033700659,96
028_220329_0644_5_5_5.pts,68,left,126.81763043397756,96
028_220329_0644_5_5_5.pts,68,right,112.66896693904272,96
028_220329_0644_5_5_6.pts,68,left,151.1162585928831,96
028_220329_0644_5_5_6.pts,68,right,133.3037560944511,96
028_220329_0644_5_5_7.pts,68,left,123.26899447955257,96
028_220329_0644_5_5_7.pts,68,right,119.17540760483185,96
028_220329_0644_5_5_8.pts,68,left,141.42415419188092,96
028_220329_0644_5_5_8.pts,68,right,127.38290156497096,96
028_220329_0650_5_5_1.pts,68,left,128.5351411093479,96
028_220329_0650_5_5_1.pts,68,right,122.4374511513714,96
028_220329_0650_5_5_2.pts,68,left,121.39624056049789,96
028_220329_0650_5_5_2.pts,68,right,127.6814449671089,96
028_220329_0650_5_5_4.pts,68,left,169.2940940428159,96
028_220329_0650_5_5_4.pts,68,right,143.5964571289974,96
028_220329_0650_5_5_6.pts,68,left,137.33875090446972,96
028_220329_0650_5_5_6.pts,68,right,124.8098843129911,96
028_220329_0650_5_5_7.pts,68,left,135.04015246502684,96
028_220329_0650_5_5_7.pts,68,right,118.8885425747812,96
028_220329_0650_5_5_8.pts,68,left,134.28356087854604,96
028_220329_0650_5_5_8.pts,68,right,125.4102921968085,96
028_220329_1625_5_5_1.pts,68,left,137.12619086893037,96
028_220329_1625_5_5_1.pts,68,right,125.90887577927154,96
028_220329_1625_5_5_2.pts,68,left,139.81459349994736,96
028_220329_1625_5_5_2.pts,68,right,131.98737839488862,96
028_220329_1625_5_5_4.pts,68,left,262.7915465619935,96
028_220329_1625_5_5_4.pts,68,right,221.0271633633397,96
028_220329_1625_5_5_5.pts,68,left,131.61156652986264,96
028_220329_1625_5_5_5.pts,68,right,116.88990665484245,96
028_220329_1625_5_5_6.pts,68,left,142.186814711413,96
028_220329_1625_5_5_6.pts,68,right,125.40259721747758,96
028_220329_1625_5_5_7.pts,68,left,138.47871577329954,96
028_220329_1625_5_5_7.pts,68,right,127.50954757280783,96
028_220329_1625_5_5_8.pts,68,left,238.28694478622967,96
028_220329_1625_5_5_8.pts,68,right,211.04570331776193,96
028_220329_1631_2_0_1.pts,68,left,221.7737967940409,96
028_220329_1631_2_0_1.pts,68,right,190.50072688691898,96
028_220329_1631_2_0_2.pts,68,left,234.09827589663638,96
028_220329_1631_2_0_2.pts,68,right,193.37949448917507,96
028_220329_1631_2_0_3.pts,68,left,228.43836088149104,96
028_220329_1631_2_0_3.pts,68,right,196.07851672792268,96
028_220329_1631_2_0_4.pts,68,left,227.67118162921813,96
028_220329_1631_2_0_4.pts,68,right,195.6854988098108,96
028_220329_1631_2_0_5.pts,68,left,227.89721672036475,96
028_220329_1631_2_0_5.pts,68,right,190.2565519385747,96
028_220329_1631_2_0_6.pts,68,left,225.56744495210776,96
028_220329_1631_2_0_6.pts,68,right,193.52813461842916,96
028_220329_1631_2_0_7.pts,68,left,220.48396515141147,96
028_220329_1631_2_0_7.pts,68,right,193.94439781660208,96
028_220329_1631_5_5_1.pts,68,left,155.09485448875762,96
028_220329_1631_5_5_1.pts,68,right,129.81890377667574,96
028_220329_1631_5_5_2.pts,68,left,146.73166173514034,96
028_220329_1631_5_5_2.pts,68,right,128.8018773586439,96
028_220329_1631_5_5_3.pts,68,left,257.8198256534979,96
028_220329_1631_5_5_3.pts,68,right,217.47138062027582,96
028_220329_1631_5_5_4.pts,68,left,142.80441364172034,96
028_220329_1631_5_5_4.pts,68,right,131.15416712996776,96
